Barcode,District Name,Name,Party,Candidate Name,Ac_No,Voter Survey Type,Gender,Religion,Qualification,Occupation,Annual Family Income,Age,Did U Vote In The Last Election?,If No Why,If Yes Did The Candidate Your Voted For In The Last Election,The Candidate,Candidates Party,Candidates Caste,IMP: Easier access to drinking water,IMP: Free Electricity,IMP: Free/Subsidized Loans,IMP: Support for Economically-weaker Sections,IMP: Irrigation Programs,IMP: Jobs through rural employment schemes,IMP: Lower rice/wheat prices,IMP: More schools,IMP: More teachers,IMP: School Facilities,IMP: Subsidy for seeds/fertilizers,IMP: Accessibility of MLA/MP,IMP: Better Law and Order/Policing,IMP: Better Public Transport,IMP: Better Roads,IMP: Eradication of Corruption,IMP: More Hospitals/Primary Health Care Centers,IMP: Trustworthiness of MLA,IMP: Security for Women,IMP: Better Electric Supply,IMP: Better Employment Opportunities,IMP: Better Garbage Clearance,IMP: Reservation for Jobs and Education,IMP: Subsidized Food Distribution,IMP: Training for Jobs,PERF: Others,PERF: Easier access to drinking water,PERF: Free Electricity,PERF: Free/Subsidized Loans,PERF: Support for Economically-weaker Sections,PERF: Irrigation Programs,PERF: Jobs through rural employment schemes,PERF: Lower rice/wheat prices,PERF: More schools,PERF: More teachers,PERF: School Facilities,PERF: Subsidy for seeds/fertilizers,PERF: Accessibility of MLA/MP,PERF: Better Law and Order/Policing,PERF: Better Public Transport,PERF: Better Roads,PERF: Eradication of Corruption,PERF: More Hospitals/Primary Health Care Centers,PERF: Trustworthiness of MLA,PERF: Security for Women,PERF: Better Electric Supply,PERF: Better Employment Opportunities,PERF: Better Garbage Clearance,PERF: Reservation for Jobs and Education,PERF: Subsidized Food Distribution,PERF: Training for Jobs,PERF: Others
78013,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Degree,Private,"25,001 to 50,000",28,Voted,,,I,I,NI,H,M,M,M,M,L,M-H,H,H,H,L-M,M,M,M-H,M,M-H,M,M-H,,,,,,,,,A,A,G,A,B,B,A,G,G,G,B,A,G,G,A,G,A,G,,,,,,,,
78014,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Degree,Business,"1,00,001 to 2,50,000",36,Voted,,,I,I,NI,M,H,L,M,L,L,H,H,M,H,L,M,H,M,L,H,H,L,,,,,,,,,A,A,B,A,B,B,G,A,A,G,B,A,G,A,B,A,A,B,,,,,,,,
78015,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,MUSLIM,No Education,Others,"50,001 to 1,00,000",47,Voted,,N,NI,VI,NI,M,H,M,L,L,L,H,L,M,H,L,L,H,M,M,H,M,M,,,,,,,,,B,G,A,A,B,A,G,A,G,G,A,B,G,A,A,G,A,G,,,,,,,,
78016,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,Primary,,,58,Voted,,,I,I,NI,,,M,,,,,,,,,H,H,H,M,H,M,H,M,H,L,L,M,L,L,M,,,,,,,,,,,,A,G,G,A,G,A,A,A,G,B,B,G,A,B,A
78017,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,High School,Business,"50,001 to 1,00,000",23,Voted,,,I,VI,NI,L,M,L,M,L-M,L,M,M,M-H,H,L,M,H,M,L,M,L,M,,,,,,,,,B,A,B,A,B,B,A,G,G,G,B,A,G,A,B,A,A,A,,,,,,,,
78018,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,CHRISTIAN,High School,Others,"10,000 to 25,000",42,Voted,,Y,NI,VI,NI,,,,,,,,,,,,M,H,M,H,L,H,M,H,M,M,M,M,M,L,M,,,,,,,,,,,,B,G,A,G,B,G,A,G,A,A,A,A,A,B,A
78019,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Degree,Others,"25,001 to 50,000",29,Voted,,,I,NI,NI,M,M,M,H,L,M,M,H,H,H,M,H,H,M,M,M,M,H,,,,,,,,,B,A,B,A,B,A,A,G,G,,B,G,G,A,B,B,A,A,,,,,,,,
78020,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,MUSLIM,Primary,Others,"25,001 to 50,000",43,Voted,,,I,I,NI,,,,,,,,,,,,M,H,M,M,M,H,H,H,M,M,M,M,M,L,M,,,,,,,,,,,,A,G,A,A,B,A,G,G,A,B,A,A,B,B,A
78021,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,CHRISTIAN,High School,Private,"50,001 to 1,00,000",58,,,,VI,I,NI,M,M,L,M,L,M,M,M,M,M,L,M,H,M,M,L,M,M,,,,,,,,,A,B,B,A,B,B,A,A,A,A,B,A,G,B,B,B,A,A,,,,,,,,
78022,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,MUSLIM,No Education,Others,"25,001 to 50,000",61,Voted,,Y,I,I,NI,M,M,L,M,L-M,M,M,M,M,H,L,M,H,M,M,M,M,M,,,,,,,,,B,A,B,A,B,A,A,A,A,G,B,A,G,A,A,B,A,A,,,,,,,,
78023,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,HINDU,Degree,Govt,"1,00,001 to 2,50,000",54,Voted,,,VI,I,NI,M,,,,M,,M,,,,,M,H,M,M,M,M,M,H,M,M,M,M,M,M,M,A,,,,,,,,,,,A,G,A,A,B,A,A,G,A,B,A,A,A,A,A
78024,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Primary,Agriculture,"10,000 to 25,000",72,Voted,,,I,NI,NI,M,M,M,M,M,M,M,H,H,H,M,M,H,M,M,M,L,M,,,,,M,,,,A,B,A,A,B,A,A,G,G,G,B,A,G,A,B,B,B,A,,,,,,,,
78025,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Degree,Private,"25,001 to 50,000",40,Voted,,,VI,NI,NI,L-M,M,M,H,L-M,M,M,H,M,H,M,M,H,M,M,L,M,M,,,M,,M,,,,B,A,A,G,B,A,A,G,G,G,A,A,G,A,B,B,A,A,,,,,,,,
78026,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,PUC,Govt,"1,00,001 to 2,50,000",58,Voted,,,I,NI,NI,M,M,M,M,L-M,M,L,H,H,H,M,M,H,M,M,M,,M,,,,,,,,,A,A,B,A,B,A,B,G,G,G,A,A,G,A,B,B,,A,,,,,,,,
78027,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,CHRISTIAN,High School,Private,"50,001 to 1,00,000",67,Voted,,,I,I,NI,,,,,M,,,,,,,M,H,M,M,M,H,H,H,H,M,M,M,M,L,M,,,,,,,,,,,,A,G,A,A,B,G,G,G,G,A,B,A,A,B,A
78028,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Primary,Agriculture,"10,000 to 25,000",43,Voted,,,I,I,I,L-M,M,L,M,L,M,M,H,M,H,M,M,H,M,L,M,M,M,,,,,,,,,B,A,B,A,B,A,B,G,A,G,B,A,G,A,B,B,A,A,,,,,,,,
78029,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,CHRISTIAN,High School,Others,"25,001 to 50,000",61,Voted,,,VI,I,NI,M,,,,,,M,,,,,H,H,M,M,M,H,H,H,M,M,M,M,M,M,M,,,,,,,,,,,,G,G,A,A,B,A,G,G,A,A,A,A,A,A,A
78030,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Degree,Private,"50,001 to 1,00,000",32,Voted,,,I,I,NI,M,M,M,M,L-M,M,M,H,H,H,M,M,H,M,M,L,M,M,,,,,,,,,A,A,A,A,B,B,A,G,G,G,B,A,G,A,B,B,A,A,,,,,,,,
78031,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Primary,Others,"25,001 to 50,000",70,Voted,,Y,I,NI,NI,L,M,M,H,M,M,M,M,M-H,H,M,M-H,H,M,M,L,M,M,,,,,,,,,B,A,A,G,A,B,A,A,G,G,A,G,G,A,B,B,A,A,,,,,,,,
78032,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,MUSLIM,High School,Business,"1,00,001 to 2,50,000",61,Voted,,,VI,VI,NI,,,,,,,,,,,,H,H,H,M,H,H,M,H,H,M,M,H,M,L,M,,,,,,,,,,,,G,G,G,A,G,G,A,G,G,A,A,G,A,B,A
78033,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,No Education,Agriculture,"25,001 to 50,000",67,Voted,,,I,VI,NI,L,M,M,M,L,M,M,H,H,H,M,M,M,L,M,L,M,M,,,,,,,,,B,B,A,A,B,A,B,G,G,G,A,B,A,B,B,B,A,A,,,,,,,,
78034,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,CHRISTIAN,Degree,Private,"1,00,001 to 2,50,000",66,Voted,,,VI,I,NI,M,L,M,M,M,M,M,M,M,M,M,M,H,M,L,M,M,H,M,,,,M,,,,B,B,A,A,B,A,A,A,A,A,B,A,G,A,B,A,B,G,,,,,,,,
78035,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,CHRISTIAN,Above Degree,Govt,"1,00,001 to 2,50,000",45,Voted,,,VI,I,NI,M,,,,,,,,,,,M,H,M,H,L,H,M,H,M,M,M,M,H,M,M,,,,,,,,,,,,B,G,A,G,B,G,A,G,A,A,A,A,G,A,A
78036,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Above Degree,Medical,"2,50,001 to 5,00,000",38,Voted,,,VI,NI,NI,M,L,M,M,M,M,M,H,H,H,M,M,M,H,M,H,M,M,,,M,,,,,,B,B,A,A,B,A,A,G,G,G,A,A,G,G,A,G,A,A,,,,,,,,
78037,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Primary,Others,"50,001 to 1,00,000",56,Voted,,,I,I,I,L,M,M,H,M,M,M,H,M,H,M,M,H,M,L,L,M,M,,,,,,,,,B,A,A,G,B,A,A,G,A,G,A,A,G,B,B,B,A,A,,,,,,,,
78038,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,Degree,Law,"2,50,001 to 5,00,000",65,Voted,,,VI,NI,NI,,,,,,,,,,,,M,M,M,H,L,H,M,M,H,M,M,H,L,M,M,,,,,,,,,,,,A,A,A,G,B,G,A,A,G,A,A,G,B,A,A
78039,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Primary,Private,"50,001 to 1,00,000",69,Voted,,,I,I,NI,M,L,M,M,L-M,M,M,H,H,H,M,H,M,H,L,M,M,H,,,,,,,,,A,B,B,A,B,A,A,G,G,G,G,G,B,G,B,A,A,G,,,,,,,,
78040,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,CHRISTIAN,Degree,Private,"50,001 to 1,00,000",46,Voted,,,I,I,NI,M,M,L-M,M,M,L,M,M,H,H,H,M,M,H,M,L,M,H,,,,,,,,,A,B,B,A,B,B,A,A,G,G,G,A,G,G,B,B,A,G,,,,,,,,
78042,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Degree,Private,"50,001 to 1,00,000",37,Voted,,,I,VI,NI,L,M,L-M,M,L,M,M,M,H,M,L,M,H,M,M,L,M,M,,,,,,,,,B,B,B,A,B,A,A,A,G,A,B,A,G,A,B,B,B,A,,,,,,,,
78043,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,MUSLIM,Primary,Others,"50,001 to 1,00,000",62,Voted,,,I,I,I,L-M,M,L,H,M,M,M,H,M-H,H,M,M,H,M,M,L,M,M,,,,,,,M,,B,A,B,G,B,A,B,G,G,G,A,A,G,A,B,B,A,A,,,,,,,,
78045,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,CHRISTIAN,Above Degree,Govt,"1,00,001 to 2,50,000",45,Voted,,,VI,NI,NI,,,M,,,,,,M,,,M,H,M,H,L-M,H,M-H,M-H,H,M,L,M-H,M,M,M,,,,,,,,,,,,G,G,A,G,B,G,G,G,G,A,B,G,A,B,A
78046,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,,Degree,Others,"50,001 to 1,00,000",32,Voted,,,VI,I,NI,L-M,M,L-M,H,M,M,M,M,M,M,L-M,M,H,M,L,L-M,M,M,M,,,,,,M,,B,A,B,G,A,A,B,A,A,A,B,A,G,A,B,B,A,A,,,,,,,,
78047,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,OTHERS,Degree,Private,"50,001 to 1,00,000",41,Voted,,,I,NI,NI,L-M,M,L,M,M,M,M,H,H,H,M,M-H,M,M,L,L-M,M,M,M,,M,,,,,,B,B,B,A,B,A,A,G,G,G,A,G,A,B,B,B,A,A,,,,,,,,
78048,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,OTHERS,Primary,Agriculture,"25,001 to 50,000",51,Voted,,Y,VI,I,NI,M,M,L,M,L-M,M,M,M,M,H,H,M,H,M,L,L-M,M,M,M,,M,,M,,,,A,B,B,A,B,A,A,B,A,G,G,A,G,B,B,B,A,A,,,,,,,,
78049,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,CHRISTIAN,Degree,Govt,"1,00,001 to 2,50,000",56,Voted,,,VI,NI,NI,,,M,,,,M,,M,,,H,M,M-H,M,L-M,H,M,M-H,H,M,M,H,M,M,M,,,,,,,,,,,,G,A,G,A,B,G,A,G,G,A,B,G,A,A,A
78050,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,High School,Business,"1,00,001 to 2,50,000",50,Voted,,,VI,I,NI,M,,M,,M,,M,,M,,,M-H,H,M,M,M,M,H,M-H,M,M,M,M,M,M,M,A,,,,,,,,,,,G,G,A,A,B,A,G,G,G,B,A,A,A,B,A
78051,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,PUC,Private,"25,001 to 50,000",36,Voted,,,I,NI,NI,L-M,M,M,M,L,M,M,H,H,H,L,M,H,M,L,M,M,M,,,M,,,,M,,B,A,B,A,B,A,A,G,G,G,B,A,A,A,B,B,A,A,,,,,,,,
78052,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Above Degree,Medical,"2,50,001 to 5,00,000",48,Voted,,,VI,NI,NI,M,M,M,M,L,M,M,H,H,H,M,H,H,M,M,M,H,H,,,M,,,,,,A,A,A,G,B,A,A,G,G,G,A,G,G,A,B,A,G,G,,,,,,,,
78053,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,Above Degree,Engineering,"1,00,001 to 2,50,000",52,Voted,,,VI,I,NI,,,,,,,M,,,,,M-H,H,M,M,M,M,H,H,M,M,M,M,M,M,M,,,,,,,,,,,,G,G,A,A,A,A,G,G,A,B,A,A,A,B,A
78054,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,CHRISTIAN,Degree,Govt,"1,00,001 to 2,50,000",47,Voted,,,VI,I,NI,,,,,M,,M,,M,,,M,H,M,M,L-M,M,M-H,M,,M,,M,,,,,,,,,,,,,,,A,G,A,B,B,A,G,,,,,,,,
80002,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,HINDU,Degree,Business,"25,001 to 50,000",48,Voted,,Y,,I,,M,M,L-M,M,L,L,M,H,H,H,M,M,,,M,M,M,H,,,M,,,,,,A,A,A,A,B,B,A,G,G,G,A,A,G,A,A,B,A,G,,,,,,,,
80003,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Male,HINDU,Degree,Private,"50,001 to 1,00,000",57,Voted,,Y,,,I,,,,,M,,M,,,,M,M-H,M,M,H,L,M,M-H,M,M,L-M,H,M,M,L,M,,,,,,,,,,,,G,A,A,G,A,G,G,G,A,A,G,A,A,B,A
80004,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Female,HINDU,High School,Others,"10,000 to 25,000",62,Voted,,Y,I,,,M,M,M,,L,L,M,H,M-H,H,M,M-H,M,M,H,L-M,M,M-H,,,,,,,,,A,G,A,,B,B,A,G,G,G,A,G,G,A,G,A,A,G,,,,,,,,
80005,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Male,MUSLIM,Primary,Others,"10,000 to 25,000",46,Voted,,,I,,,,,,,,,,,,,,M,M,M,H,L,M,M,M,M,L,M,M,M,M,H,,,,,,,,,,,,A,A,A,G,A,G,G,G,A,B,G,A,A,A,A
80006,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,CHRISTIAN,Degree,Business,"50,001 to 1,00,000",,Voted,,,,I,,M,M,L,M,L,M,M,H,M-H,H,M,M-H,M,M,M,L,M,H,,,,,,,,,A,A,B,A,B,A,A,G,G,G,A,G,A,A,A,A,G,A,,,,,,,,
80007,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Female,HINDU,Degree,Govt,"50,001 to 1,00,000",37,Voted,,,I,,,M,M,L-M,M,L,M,M,H,H,H,M,H,M,M,M,L,M,M,,,M,,M,,,,A,G,A,G,B,B,A,G,G,G,A,A,G,G,A,A,G,A,,,,,,,,
80008,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Female,HINDU,High School,Others,,68,Voted,,,I,,,M,M,M,M,L,M,M,H,M-H,H,L-M,M-H,M,M,H,L-M,M,M,M,,,,,,,,A,A,A,G,B,B,A,G,G,G,B,A,G,A,G,A,A,A,,,,,,,,
80009,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,HINDU,Degree,Private,"25,001 to 50,000",40,Voted,,,I,,,M,M,M,L,M,M,M,H,H,H,M,M,H,M,M,M,M,H,,,,,,,,,A,A,A,A,B,B,G,G,G,G,B,A,G,G,G,A,A,G,,,,,,,,
80010,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Female,CHRISTIAN,Degree,Others,"25,001 to 50,000",54,Voted,,,I,,,,,M,,M,,,,M,,M,M,M,M,H,M,M,M,M,H,L-M,M,L-M,M,M,M,,,,,,,,,,,,G,A,G,A,A,A,A,G,G,B,A,B,A,A,A
80011,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Male,HINDU,Above Degree,Medical,"1,00,001 to 2,50,000",43,Voted,,,VI,,,M,,,,M,,,,,,,H,H,M,H,M,H,H,M,M,M,M,M,L,M,M,,,,,,,,,,,,G,G,A,G,A,A,G,A,A,A,A,A,A,A,A
80012,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,HINDU,Primary,Agriculture,"10,000 to 25,000",49,Voted,,,,,I,M,M,M,M,L-M,M,H,H,M,H,M,M,H,M,M,M,M,M,,,,,,,,,A,A,B,A,B,B,A,G,A,G,A,A,G,A,B,A,A,A,,,,,,,,
80013,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Female,MUSLIM,Degree,Others,"50,001 to 1,00,000",39,Voted,,,,I,,M,M,M,M,L,L,M,H,H,H,M,M,M,M,H,,M,M,,,,,,,,,A,A,B,A,B,B,A,G,G,G,,A,A,A,G,,B,A,,,,,,,,
80014,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Female,HINDU,PUC,Private,"25,001 to 50,000",,Voted,,,I,,,M,M,M,H,L-M,M,M,H,M-H,H,M,M,M,M,M,L,M,M,,,,,,,,,A,A,A,A,B,A,A,G,G,G,A,A,G,A,G,A,G,G,,,,,,,,
80015,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,HINDU,Above Degree,Govt,"1,00,001 to 2,50,000",51,Voted,,,I,,NI,M,M,M,M,L,M,M,H,H,H,M,H,M,M,M,M,M,M,,,,,,,,,G,G,A,A,B,B,G,G,G,G,B,G,A,A,G,A,A,G,,,,,,,,
80016,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Male,HINDU,Above Degree,Engineering,"1,00,001 to 2,50,000",44,Voted,,,I,NI,,M,M,M,M,L,M,M,H,H,H,L,M,M,M,H,L-M,M,M-H,M,,,,,,,,A,A,A,A,B,A,A,G,G,G,B,G,A,A,A,A,A,G,,,,,,,,
80017,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,RURAL,Female,OTHERS,High School,Others,"10,000 to 25,000",41,Did not vote,,,,I,,M,L,M,M,L,L,M,H,H,H,M,M,M,M,M,L-M,M,M,,,,,,,,,A,B,A,A,B,B,A,G,G,G,A,B,G,B,G,B,A,G,,,,,,,,
80018,UTTAR KANNADA,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,080,URBAN,Male,MUSLIM,High School,Agriculture,"25,001 to 50,000",53,Voted,,,,NI,I,,,,,,,,,,,,H,M,M,M,L,M,M-H,H,M,M,M,M,H,M,M,,,,,,,,,,,,G,A,G,A,B,A,G,G,A,B,A,A,A,B,A
